month,release,employment_sa
2020-12,2023-11,142475000
2021-01,2023-11,142969000
2021-02,2023-11,143544000
2021-03,2023-11,144328000
2021-04,2023-11,144614000
2021-05,2023-11,145096000
2021-06,2023-11,145789000
2021-07,2023-11,146558000
2021-08,2023-11,147221000
2021-09,2023-11,147778000
2021-10,2023-11,148559000
2021-11,2023-11,149173000
2021-12,2023-11,149742000
2022-01,2023-11,150106000
2022-02,2023-11,151010000
2022-03,2023-11,151424000
2022-04,2023-11,151678000
2022-05,2023-11,152042000
2022-06,2023-11,152412000
2022-07,2023-11,152980000
2022-08,2023-11,153332000
2022-09,2023-11,153682000
2022-10,2023-11,154006000
2022-11,2023-11,154296000
2022-12,2023-11,154535000
2023-01,2023-11,155007000
2023-02,2023-11,155255000
2023-03,2023-11,155472000
2023-04,2023-11,155689000
2023-05,2023-11,155970000
2023-06,2023-11,156075000
2023-07,2023-11,156311000
