month,naics2d_code,naics2d_name,employment_nsa,employment_sa
2022-06,92,Public Administration,22596298,22614038
2022-06,99,Unclassified,370596,368835
2022-07,11,"Agriculture, Forestry, Fishing and Hunting",213217,211524
2022-07,21,"Mining, Quarrying, and Oil and Gas Extraction",621568,620234
2022-07,22,Utilities,361127,360699
2022-07,23,Construction,7900182,7862575
2022-07,31-33,Manufacturing,12798400,12765315
2022-07,42,Wholesale Trade,6055756,6042020
2022-07,44-45,Retail Trade,15458793,15425465
2022-07,48-49,Transportation and Warehousing,6564324,6555935
2022-07,51,Information,3061218,3064475
2022-07,52-53,Financial Activities,9086803,9061120
2022-07,54-56,Professional and Business Services,21918518,21900846
2022-07,61-62,Education and Health Services,24575643,24914072
2022-07,71-72,Leisure and Hospitality,16404516,16289940
2022-07,81,Other Services (except Public Administration),5714760,5713735
2022-07,92,Public Administration,22551051,22624316
2022-07,99,Unclassified,370546,368993
2022-08,11,"Agriculture, Forestry, Fishing and Hunting",213557,211976
2022-08,21,"Mining, Quarrying, and Oil and Gas Extraction",623116,621330
2022-08,22,Utilities,362397,361781
2022-08,23,Construction,7924543,7884764
2022-08,31-33,Manufacturing,12835186,12792614
2022-08,42,Wholesale Trade,6076296,6057075
2022-08,44-45,Retail Trade,15494878,15443237
2022-08,48-49,Transportation and Warehousing,6582204,6568909
2022-08,51,Information,3076080,3070297
2022-08,52-53,Financial Activities,9108115,9076384
2022-08,54-56,Professional and Business Services,22019770,21991999
2022-08,61-62,Education and Health Services,25064954,25000172
2022-08,71-72,Leisure and Hospitality,16470054,16334560
2022-08,81,Other Services (except Public Administration),5756121,5731565
2022-08,92,Public Administration,22748410,22678342
2022-08,99,Unclassified,371356,369156
2022-09,11,"Agriculture, Forestry, Fishing and Hunting",211640,211608
2022-09,21,"Mining, Quarrying, and Oil and Gas Extraction",622818,622306
2022-09,22,Utilities,362574,362420
2022-09,23,Construction,7910708,7907204
2022-09,31-33,Manufacturing,12813235,12805317
2022-09,42,Wholesale Trade,6071404,6069093
2022-09,44-45,Retail Trade,15415408,15430492
2022-09,48-49,Transportation and Warehousing,6574344,6578394
2022-09,51,Information,3076094,3071008
2022-09,52-53,Financial Activities,9099879,9091972
2022-09,54-56,Professional and Business Services,22071400,22058579
2022-09,61-62,Education and Health Services,25192399,25086306
2022-09,71-72,Leisure and Hospitality,16304656,16343013
2022-09,81,Other Services (except Public Administration),5747834,5747285
2022-09,92,Public Administration,22741970,22714859
2022-09,99,Unclassified,369112,369506
2022-10,11,"Agriculture, Forestry, Fishing and Hunting",211462,211629
2022-10,21,"Mining, Quarrying, and Oil and Gas Extraction",623785,623373
2022-10,22,Utilities,363497,363044
2022-10,23,Construction,7921765,7924525
2022-10,31-33,Manufacturing,12832068,12821084
2022-10,42,Wholesale Trade,6084026,6079859
2022-10,44-45,Retail Trade,15461499,15442988
2022-10,48-49,Transportation and Warehousing,6592274,6588946
2022-10,51,Information,3078677,3069091
2022-10,52-53,Financial Activities,9110960,9103072
2022-10,54-56,Professional and Business Services,22144429,22103321
2022-10,61-62,Education and Health Services,25298254,25166176
2022-10,71-72,Leisure and Hospitality,16331188,16386167
2022-10,81,Other Services (except Public Administration),5764036,5762331
2022-10,92,Public Administration,22774755,22746030
2022-10,99,Unclassified,369174,369814
2022-11,11,"Agriculture, Forestry, Fishing and Hunting",211375,211963
2022-11,21,"Mining, Quarrying, and Oil and Gas Extraction",624084,624197
2022-11,22,Utilities,363930,363920
2022-11,23,Construction,7925428,7939768
2022-11,31-33,Manufacturing,12840544,12832551
2022-11,42,Wholesale Trade,6089684,6086755
2022-11,44-45,Retail Trade,15506225,15457151
2022-11,48-49,Transportation and Warehousing,6607830,6596826
2022-11,51,Information,3074567,3065268
2022-11,52-53,Financial Activities,9110444,9114716
2022-11,54-56,Professional and Business Services,22171527,22151041
2022-11,61-62,Education and Health Services,25358003,25236565
2022-11,71-72,Leisure and Hospitality,16363976,16421145
2022-11,81,Other Services (except Public Administration),5776333,5774165
2022-11,92,Public Administration,22797983,22777926
2022-11,99,Unclassified,369279,369863
2022-12,11,"Agriculture, Forestry, Fishing and Hunting",211070,212293
2022-12,21,"Mining, Quarrying, and Oil and Gas Extraction",624191,625074
2022-12,22,Utilities,364010,364697
2022-12,23,Construction,7924346,7956135
2022-12,31-33,Manufacturing,12827047,12835778
2022-12,42,Wholesale Trade,6085563,6091611
2022-12,44-45,Retail Trade,15510789,15468206
2022-12,48-49,Transportation and Warehousing,6610512,6600949
2022-12,51,Information,3061060,3073736
2022-12,52-53,Financial Activities,9096661,9119576
2022-12,54-56,Professional and Business Services,22161548,22184171
2022-12,61-62,Education and Health Services,25390141,25298221
2022-12,71-72,Leisure and Hospitality,16389515,16459274
2022-12,81,Other Services (except Public Administration),5777170,5782737
2022-12,92,Public Administration,22805424,22802110
2022-12,99,Unclassified,369217,370034
2023-01,11,"Agriculture, Forestry, Fishing and Hunting",210876,212296
2023-01,21,"Mining, Quarrying, and Oil and Gas Extraction",625865,625835
2023-01,22,Utilities,365223,365569
2023-01,23,Construction,7949878,7967985
2023-01,31-33,Manufacturing,12839691,12846121
2023-01,42,Wholesale Trade,6095598,6101579
2023-01,44-45,Retail Trade,15482630,15477727
2023-01,48-49,Transportation and Warehousing,6612746,6606810
2023-01,51,Information,3054483,3048584
2023-01,52-53,Financial Activities,9108637,9127474
2023-01,54-56,Professional and Business Services,22234805,22216639
2023-01,61-62,Education and Health Services,25518676,25386005
2023-01,71-72,Leisure and Hospitality,16423568,16508331
2023-01,81,Other Services (except Public Administration),5795628,5797235
2023-01,92,Public Administration,22861050,22837114
2023-01,99,Unclassified,368911,370137
2023-02,11,"Agriculture, Forestry, Fishing and Hunting",210642,212518
2023-02,21,"Mining, Quarrying, and Oil and Gas Extraction",625806,626627
2023-02,22,Utilities,365218,366231
2023-02,23,Construction,7949393,7984316
2023-02,31-33,Manufacturing,12814152,12849818
2023-02,42,Wholesale Trade,6089419,6108402
2023-02,44-45,Retail Trade,15430655,15488344
2023-02,48-49,Transportation and Warehousing,6603036,6615923
2023-02,51,Information,3032636,3034481
2023-02,52-53,Financial Activities,9092208,9107161
2023-02,54-56,Professional and Business Services,22216277,22250291
2023-02,61-62,Education and Health Services,25541001,25457397
2023-02,71-72,Leisure and Hospitality,16430737,16548116
2023-02,81,Other Services (except Public Administration),5796202,5811579
2023-02,92,Public Administration,22856738,22875358
2023-02,99,Unclassified,368489,370268
2023-03,11,"Agriculture, Forestry, Fishing and Hunting",211320,212566
2023-03,21,"Mining, Quarrying, and Oil and Gas Extraction",626448,627212
2023-03,22,Utilities,366309,366929
2023-03,23,Construction,7968773,7998093
