month,naics2d_code,naics2d_name_x,employment_nsa_revelio,employment_sa_revelio,employment_nsa_bls,employment_sa_bls,naics2d_name_y,employment_nsa_adp,employment_sa_adp
2021-05,92,Public Administration,22274488.0,22265715.0,22177000.0,,,,
2021-05,99,Unclassified,520362.0,519266.0,,,,,
2021-06,11,"Agriculture, Forestry, Fishing and Hunting",297910.0,294641.0,,,,,
2021-06,21,"Mining, Quarrying, and Oil and Gas Extraction",611162.0,610127.0,565000.0,,Natural resources and mining,1720000.0,1675000.0
2021-06,22,Utilities,462779.0,461913.0,547300.0,545200.0,,,
2021-06,23,Construction,7672306.0,7630277.0,7576000.0,,Construction,7337000.0,7324000.0
2021-06,31-33,Manufacturing,12429108.0,12396112.0,12318000.0,,Manufacturing,12254000.0,12290000.0
2021-06,42,Wholesale Trade,5885886.0,5870143.0,5731500.0,,,,
2021-06,44-45,Retail Trade,15035323.0,15002391.0,15279800.0,,,,
2021-06,48-49,Transportation and Warehousing,6648017.0,6643110.0,6009700.0,6080900.0,,,
2021-06,51,Information,2935674.0,2939019.0,2843000.0,,Information,2782000.0,2778000.0
2021-06,52-53,Financial Activities,8858815.0,8840329.0,8804000.0,,Financial activities,8326000.0,8296000.0
2021-06,54-56,Professional and Business Services,21068026.0,21052327.0,21321000.0,,Professional and business services,21173000.0,21239000.0
2021-06,61-62,Education and Health Services,23452968.0,23735103.0,23442000.0,,Education and health services,22605000.0,22768000.0
2021-06,71-72,Leisure and Hospitality,15398810.0,15227144.0,14800000.0,,Leisure and hospitality,14333000.0,14024000.0
2021-06,81,Other Services (except Public Administration),5523517.0,5511113.0,5516000.0,,Other services,4132000.0,4135000.0
2021-06,92,Public Administration,22274527.0,22293466.0,21874000.0,,,,
2021-06,99,Unclassified,524046.0,520791.0,,,,,
2021-07,11,"Agriculture, Forestry, Fishing and Hunting",299076.0,295985.0,,,,,
2021-07,21,"Mining, Quarrying, and Oil and Gas Extraction",610936.0,609272.0,571000.0,,Natural resources and mining,1738000.0,1674000.0
2021-07,22,Utilities,463237.0,462332.0,549800.0,545400.0,,,
2021-07,23,Construction,7691551.0,7650846.0,7628000.0,,Construction,7399000.0,7320000.0
2021-07,31-33,Manufacturing,12463074.0,12421916.0,12382000.0,,Manufacturing,12376000.0,12328000.0
2021-07,42,Wholesale Trade,5899197.0,5882795.0,5755400.0,,,,
2021-07,44-45,Retail Trade,15093154.0,15062152.0,15266600.0,,,,
2021-07,48-49,Transportation and Warehousing,6658182.0,6652704.0,6020100.0,6139100.0,,,
2021-07,51,Information,2949182.0,2950991.0,2885000.0,,Information,2844000.0,2819000.0
2021-07,52-53,Financial Activities,8885664.0,8856375.0,8867000.0,,Financial activities,8468000.0,8336000.0
2021-07,54-56,Professional and Business Services,21136912.0,21114313.0,21499000.0,,Professional and business services,21524000.0,21338000.0
2021-07,61-62,Education and Health Services,23457284.0,23815735.0,23410000.0,,Education and health services,22763000.0,22802000.0
